article_id,article_topic_category
17642490,politics
16773515,religion
17860310,politics
15268846,politics
14347091,politics
31571998,politics
20598876,politics
8941991,economy
22204450,technology
11698722,terrorism_security
27237819,education
17598253,crime_law
16080664,politics
15631389,politics
7367223,crime_law
12745136,politics
17832282,technology
27303262,terrorism_security
28157058,environment
23670062,politics
14078938,education
32576667,education
29910156,politics
27954629,economy
25045688,environment
29799974,politics
29299559,politics
27898273,healthcare
30782548,religion
12008542,economy
24729955,economy
25066225,terrorism_security
30073856,politics
23308420,crime_law
30131537,other
11778418,economy
14151404,education
32278938,religion
19607475,economy
15684784,sports
7924447,politics
21886003,crime_law
15400852,economy
8188151,crime_law
12840225,economy
11841998,economy
29021257,politics
19881794,crime_law
25783268,technology
14532245,politics
19108620,crime_law
25413911,politics
16462745,healthcare
31381614,politics
31394308,religion
30562514,politics
9602111,religion
12137497,economy
13269419,economy
31142729,economy
8952216,environment
23321418,economy
15446274,religion
13240182,crime_law
12245820,crime_law
28744570,politics
30926538,crime_law
16413031,politics
14926816,politics
26115596,politics
7888730,technology
13498165,economy
28888508,politics
11717422,technology
27051288,economy
21563864,economy
28532210,sports
13105827,environment
12135759,politics
8077946,environment
12934330,crime_law
7538424,politics
26385163,politics
15652032,politics
24698136,politics
23111908,healthcare
28744045,economy
15741406,education
33052108,economy
30768477,politics
16236513,economy
13814972,terrorism_security
9234600,religion
31648725,immigration
29030440,politics
28228455,crime_law
31295522,economy
17357913,crime_law
31381639,technology
22329693,social_issues
21481849,environment
18459188,politics
7177302,healthcare
29805600,religion
19133323,politics
27108365,politics
15324696,education
18757183,immigration
21504081,education
11935330,politics
25672460,technology
11778246,politics
23160916,politics
25663593,politics
29452220,politics
21779673,crime_law
23545770,crime_law
13080671,economy
12725889,politics
12825020,politics
9468954,religion
22358012,terrorism_security
12695248,politics
11881474,environment
29553145,sports
25175186,economy
20608523,politics
13564028,politics
32338990,politics
22165729,religion
29711483,politics
32694649,politics
17942327,economy
11717275,politics
29904241,politics
24498401,crime_law
29912274,politics
29333884,terrorism_security
32450922,politics
12573341,politics
16074220,economy
26326843,politics
26227041,politics
6873483,environment
24329853,crime_law
25341357,religion
22066223,crime_law
14892866,religion
11636413,terrorism_security
30020007,politics
16724305,economy
24002162,economy
13295395,economy
13464882,religion
13400823,crime_law
24565583,immigration
13966847,economy
30692142,politics
26504484,politics
19680751,technology
9369079,education
29546188,crime_law
22643625,healthcare
22246132,economy
16680743,politics
26851501,politics
29533876,politics
27653335,politics
13534242,environment
31599702,politics
20736757,healthcare
13939363,technology
8148703,crime_law
27326661,terrorism_security
22611162,politics
11712162,economy
19191363,healthcare
17860024,politics
12293766,terrorism_security
24520679,politics
15503777,education
14332725,religion
10798255,technology
14581126,politics
25413801,crime_law
9966416,economy
31692545,social_issues
7969542,education
26055674,education
21354222,terrorism_security
9552917,economy
16724279,environment
29004127,healthcare
25541257,environment
23322748,crime_law
27286044,terrorism_security
19626910,crime_law
23812621,healthcare
21745050,crime_law
21002326,environment
21055867,technology
22457601,environment
29264416,religion
25235615,politics
16738128,sports
27909951,healthcare
13240121,politics
9982148,economy
27123188,technology
13957176,politics
20921845,terrorism_security
17678773,crime_law
12632101,economy
23349944,politics
16746771,sports
31210788,technology
23562195,education
25725494,healthcare
12768160,politics
31459239,other
21005170,economy
14928534,politics
30760916,crime_law
31838978,economy
17368619,economy
10449504,environment
23545970,politics
29021955,technology
28604774,crime_law
18459108,politics
24455836,politics
18930209,crime_law
11140754,education
31860776,politics
27164326,crime_law
16147624,politics
20350107,economy
14270413,education
24252074,education
29527255,other
28681535,crime_law
7039202,economy
15580843,environment
7437935,crime_law
10914114,politics
29189632,politics
11805809,economy
8127362,politics
13337953,politics
17174267,politics
22528325,education
19523276,crime_law
17610287,crime_law
27411691,immigration
13815907,economy
22837331,crime_law
20912608,terrorism_security
18089478,education
27036548,environment
11738514,religion
7915335,sports
28814433,healthcare
11689508,economy
31498601,crime_law
22532639,religion
11999486,economy
10157546,terrorism_security
26943151,politics
29342754,politics
27306638,healthcare
30050009,sports
21094270,economy
16254959,economy
16075404,religion
10365821,politics
20144410,crime_law
13320623,politics
6968196,politics
11906661,politics
11695646,politics
19556504,politics
20377389,terrorism_security
23495095,social_issues
16661878,politics
26167435,education
15768057,education
16088703,politics
13035562,technology
13400934,education
22016864,crime_law
30824097,politics
17925023,economy
31930829,crime_law
17015765,environment
30831823,religion
12219357,economy
31728320,crime_law
8754199,economy
14423791,healthcare
13309324,technology
11866552,politics
16372532,politics
26428557,politics
15470499,economy
23242595,economy
15671122,politics
8158816,technology
17578926,crime_law
7844760,technology
20991274,environment
14739754,economy
